id,group,nr,date,time,address,speed,status,lat,lon,facility,country
(300016) MIT03-8377,MIT03,1,8/4/2011,11:53:59,"CA, 90040",0 Mph ,Idle Time ,34.0052,-118.149,E Waste Center,us
(300016) MIT03-8377,MIT03,2,8/16/2011,11:53:59,"CA, 90040",0 Mph ,Idle Time ,34.005234,-118.149,E Waste Center,us
(300016) MIT03-8377,MIT03,3,10/15/2011,7:22:05,"Beitang,  Tianjin",,,39.1067044,117.7172623,,china
(300016) MIT03-8377,MIT03,4,10/31/2011,2:25:58,"Beitang,  Tianjin",,,39.1067044,117.7172623,,china
(300016) MIT03-8377,MIT03,5,11/3/2011,4:16:48,"Guangdong, China",0 Mph ,Idle Time,23.1698,113.026,,china
(300016) MIT03-8377,MIT03,6,11/18/2011,3:36:04,"Guangdong, China",0 Mph ,Idle Time ,23.1698,113.026,,china
(300018) MIT05-8503  ,MIT05,1,8/1/2011,21:07:00,"CA, 90601",0 Mph ,,33.907299,-118.1724,Imex Horizon Inc,us
(300018) MIT05-8503  ,MIT05,3,10/2/2011,8:33:01,"Pinang, Malaysia",0 Mph ,Idle Time,5.3002,100.472,,malaysia
(300018) MIT05-8503  ,MIT05,4,11/2/2011,1:54:33,"Pinang, Malaysia",0 Mph ,Journey End,5.3007,100.473,,malaysia
(300018) MIT05-8503  ,MIT05,5,12/1/2011,0:35:11,"Pinang, Malaysia",0 Mph ,Idle Time ,5.3052,100.481,,malaysia
(300020) MIT07-9832,MIT07,1,8/4/2011,18:54:03,"1822 Chico Ave,  South El Monte",,,34.0498762,-118.0596557,,us
(300020) MIT07-9832,MIT07,2,9/16/2011,18:54:03,"1822 Chico Ave,  South El Monte",,,34.0498762,-118.0596557,,us
(300020) MIT07-9832,MIT07,3,10/7/2011,18:54:03,"Guangxi Zhuang, China",7 Mph ,Journey Start,21.5453,107.982,,china
(300020) MIT07-9832,MIT07,4,11/16/2011,4:51:09,"Guangxi Zhuang, China",47 Mph ,Journey Start ,22.3128,108.414,,china
(300020) MIT07-9832,MIT07,5,11/16/2011,5:09:44,"Guangxi Zhuang, China",46 Mph ,,22.5072,108.407,,china
(300020) MIT07-9832,MIT07,6,11/16/2011,6:09:47,"Guangxi Zhuang, China",1 Mph ,,22.8845,108.291,,china
(300020) MIT07-9832,MIT07,7,11/16/2011,8:07:48,"Guangxi Zhuang, China",0 Mph ,Journey End ,22.8842,108.292,,china
(300020) MIT07-9832,MIT07,8,11/16/2011,11:21:51,"Guangxi Zhuang, China",0 Mph ,Idle Time ,22.8846,108.291,,china
(300020) MIT07-9832,MIT07,9,11/17/2011,3:59:31,"Guangxi Zhuang, China",0 Mph ,Journey End ,22.8847,108.291,,china
(300020) MIT07-9832,MIT07,10,11/17/2011,7:22:48,"Guangxi Zhuang, China",0 Mph ,Idle Time ,22.8848,108.291,,china
(300020) MIT07-9832,MIT07,11,11/17/2011,8:59:17,"Guangxi Zhuang, China",11 Mph ,Journey Start ,22.8815,108.293,,china
(300020) MIT07-9832,MIT07,12,11/17/2011,9:40:59,"Guangxi Zhuang, China",49 Mph ,,22.8168,108.56,,china
(300020) MIT07-9832,MIT07,13,11/17/2011,10:41:03,"Guangxi Zhuang, China",48 Mph ,,22.8723,109.298,,china
(300020) MIT07-9832,MIT07,14,11/17/2011,11:41:08,"Guangxi Zhuang, China",45 Mph ,,23.1534,109.69,,china
(300020) MIT07-9832,MIT07,15,11/17/2011,12:41:12,"Guangxi Zhuang, China",29 Mph ,,23.3769,110.086,,china
(300020) MIT07-9832,MIT07,16,11/17/2011,13:41:16,"Guangxi Zhuang, China",35 Mph ,,23.3392,110.563,,china
(300020) MIT07-9832,MIT07,17,11/17/2011,14:41:20,"Guangxi Zhuang, China",8 Mph ,,23.3494,110.981,,china
(300020) MIT07-9832,MIT07,18,11/17/2011,15:35:23,"Guangxi Zhuang, China",0 Mph ,Journey End ,23.3587,111.056,,china
(300020) MIT07-9832,MIT07,19,11/17/2011,15:36:16,"Guangxi Zhuang, China",11 Mph ,Journey Start ,23.3598,111.056,,china
(300020) MIT07-9832,MIT07,20,11/17/2011,19:44:32,"Guangxi Zhuang, China",19 Mph ,,23.3871,111.12,,china
(300020) MIT07-9832,MIT07,21,11/18/2011,2:58:26,"Guangxi Zhuang, China",0 Mph ,Journey End,23.3871,111.12,,china
(300021) MIT08-9497 ,MIT08,1,8/4/2011,14:00:00,"CA, 91733",0 Mph ,Idle Time,34.0473,-118.039,Computer Recycling Team,us
(300021) MIT08-9497 ,MIT08,2,8/16/2011,12:00:22,"CA, 91733",0 Mph ,Idle Time ,34.0479,-118.039,,us
(300021) MIT08-9497,MIT08,3,8/16/2011,12:49:51,"Gardena, CA",0 Mph ,Idle Time ,33.8943,-118.272,,us
(300021) MIT08-9497,MIT08,4,8/18/2011,14:03:44,"Gardena, CA",0 Mph,Idle Time,33.8943,-118.272,,us
(300021) MIT08-9497,MIT08,5,8/19/2011,1:33:21,"Stockton, CA",0 Mph ,Idle Time,37.9379,-121.221,,us
(300021) MIT08-9497,MIT08,6,8/24/2011,22:17:26,"Stockton, CA",0 Mph ,Idle Time ,37.9379,-121.221,,us
(300022) MIT09-9556 ,MIT09,1,8/4/2011,13:50:31,"Tujunga, CA",0 Mph ,Journey End ,34.2483,-118.287,OSS-Spectrum,us
(300022) MIT09-9556 ,MIT09,2,8/17/2011,13:50:31,"Tujunga, CA",0 Mph ,Idle Time ,34.2483,-118.287,OSS-Spectrum,us
(300022) MIT09-9556,MIT09,3,8/17/2011,19:17:50,"Baldwin Park, CA",0 Mph ,Idle Time ,34.1112,-117.926,,us
